DOY_365,Tmin_C_p10,Tmin_C_p50,Tmin_C_p90,Tmax_C_p10,Tmax_C_p50,Tmax_C_p90,Tavg_C_p10,Tavg_C_p50,Tavg_C_p90,PRCP_mm_p10,PRCP_mm_p50,PRCP_mm_p90,SNOW_mm_p10,SNOW_mm_p50,SNOW_mm_p90,SNWD_mm_p10,SNWD_mm_p50,SNWD_mm_p90
126,8.9,11.7,17.8,17.2,22.2,26.7,13.05,17.25,22.2,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
127,7.8,12.8,16.1,18.3,22.2,27.2,13.05,17.8,21.95,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0
128,6.7,12.8,17.2,16.7,23.9,28.9,12.8,18.6,22.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
129,8.3,13.3,16.7,17.8,22.8,28.3,13.899999999999999,17.25,21.15,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0
130,9.4,13.3,19.4,18.3,24.4,28.9,13.350000000000001,17.75,23.1,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0
131,8.9,12.8,17.8,16.7,25.0,30.0,13.6,18.85,23.6,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0
132,9.4,13.3,18.3,16.1,23.9,30.0,12.5,18.35,24.700000000000003,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0
133,8.9,12.2,17.2,16.7,22.2,28.3,13.05,16.95,21.7,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0
134,8.3,12.2,16.7,18.3,22.8,27.8,14.2,17.25,20.549999999999997,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0
135,10.0,14.4,18.9,20.6,25.0,30.0,16.4,20.0,23.049999999999997,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0
136,10.6,13.9,18.9,19.4,26.1,30.0,14.45,20.0,23.299999999999997,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0
137,10.6,15.0,18.9,17.8,23.9,30.0,14.75,19.15,24.45,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
138,10.0,13.9,20.0,16.7,22.8,29.4,13.600000000000001,18.35,24.4,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
139,9.4,14.4,19.4,20.6,24.4,32.8,14.45,20.0,26.65,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0
140,10.0,13.9,19.4,17.2,25.0,31.7,14.45,20.0,25.85,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
141,10.0,13.9,20.0,17.2,24.4,30.0,14.75,19.45,23.9,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0
142,10.6,15.0,18.9,19.4,25.6,31.7,15.25,20.85,25.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0
143,11.1,15.6,19.4,20.0,25.0,29.4,16.65,20.0,23.6,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
144,11.7,14.4,20.6,19.4,26.7,30.6,16.4,20.85,25.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0
145,12.2,16.1,20.0,21.7,25.6,30.0,16.95,21.15,25.25,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0
146,12.2,16.7,20.6,21.7,26.7,32.8,17.8,21.95,26.15,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0
147,12.8,18.9,21.1,20.6,27.8,31.1,16.700000000000003,22.799999999999997,25.85,0.0,0.3,7.6,0.0,0.0,0.0,0.0,0.0,0.0
148,12.8,17.2,21.1,18.3,26.7,31.1,15.55,21.65,25.85,0.0,0.5,10.4,0.0,0.0,0.0,0.0,0.0,0.0
149,11.7,17.8,21.1,18.3,27.8,31.7,15.55,22.5,26.400000000000002,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
150,12.2,17.2,21.7,21.7,26.7,32.2,18.35,21.4,27.200000000000003,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
151,10.0,18.3,21.7,22.8,28.3,32.8,17.2,22.5,27.25,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0
152,12.2,18.3,22.2,23.3,29.4,33.3,18.049999999999997,23.05,27.5,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0
153,14.4,17.8,21.7,22.8,28.3,32.2,17.25,23.05,26.400000000000002,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0
154,13.9,17.2,20.6,18.9,27.2,30.0,17.25,21.95,24.75,0.0,0.3,20.1,0.0,0.0,0.0,0.0,0.0,0.0
155,13.9,16.7,21.1,20.6,26.7,31.1,17.25,21.4,25.85,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0
156,14.4,17.2,21.1,21.7,27.8,31.1,18.05,22.5,26.1,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0
157,14.4,17.8,21.7,22.2,27.2,32.8,18.05,22.200000000000003,26.95,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0
158,14.4,17.8,21.7,22.8,27.2,32.2,19.15,22.75,26.4,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0
159,14.4,18.3,22.8,23.9,28.3,33.9,19.15,23.6,28.049999999999997,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
160,13.9,19.4,23.9,25.0,29.4,33.3,20.0,24.15,28.049999999999997,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
161,15.6,20.0,23.3,25.0,30.0,33.3,21.4,24.15,27.200000000000003,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0
162,16.1,19.4,22.8,22.8,30.0,33.9,20.0,24.7,27.799999999999997,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0
